object_name,x1,y1,x2,y2
countertop-002,252,41,567,62
countertop-002,253,41,568,62
countertop-002,254,41,569,62
countertop-002,255,41,570,62
countertop-002,256,41,571,62
countertop-002,257,41,572,62
countertop-002,258,41,573,62
countertop-002,259,41,574,62
countertop-002,260,41,575,62
countertop-002,261,41,576,62
countertop-002,262,41,577,62
countertop-002,263,41,578,62
countertop-002,264,41,579,62
countertop-002,265,41,580,62
countertop-002,266,41,581,62
countertop-002,267,41,582,62
countertop-002,268,41,583,62
countertop-002,269,41,584,62
countertop-002,270,41,585,62
countertop-002,271,41,586,62
countertop-002,272,41,587,62
countertop-002,273,41,588,62
countertop-002,274,41,589,62
countertop-002,275,41,590,62
countertop-002,276,41,591,62
countertop-002,277,41,592,62
countertop-002,278,41,593,62
countertop-002,279,41,594,62
countertop-002,280,41,595,62
countertop-002,281,41,596,62
countertop-002,282,41,597,62
countertop-002,283,41,598,62
countertop-002,284,41,599,62
countertop-002,285,41,600,62
countertop-002,286,41,601,62
countertop-002,287,41,602,62
countertop-002,288,41,603,62
countertop-002,289,41,604,62
countertop-002,290,41,605,62
countertop-002,291,41,606,62
countertop-002,292,41,607,62
countertop-002,293,41,608,62
countertop-002,294,41,609,62
countertop-002,295,41,610,62
countertop-002,296,41,611,62
countertop-002,297,41,612,62
countertop-002,298,41,613,62
countertop-002,299,41,614,62
countertop-002,300,41,615,62
countertop-002,301,41,616,62
countertop-002,302,41,617,62
countertop-002,303,41,618,62
countertop-002,304,41,619,62
countertop-002,305,41,620,62
countertop-002,306,41,621,62
countertop-002,307,41,622,62
countertop-002,308,41,623,62
countertop-002,309,41,624,62
countertop-002,310,41,625,62
countertop-002,311,41,626,62
countertop-002,312,41,627,62
countertop-002,313,41,628,62
countertop-002,314,41,629,62
countertop-002,315,41,630,62
countertop-002,316,41,631,62
countertop-002,317,41,632,62
countertop-002,318,41,633,62
countertop-002,319,41,634,62
countertop-002,320,41,635,62
countertop-002,321,41,636,62
countertop-002,322,41,637,62
countertop-002,323,41,638,62
countertop-002,324,41,639,62
countertop-002,325,41,640,62
countertop-002,326,41,641,62
countertop-002,327,41,642,62
countertop-002,328,41,643,62
countertop-002,329,41,644,62
countertop-002,330,41,645,62
countertop-002,331,41,646,62
countertop-002,332,41,647,62
countertop-002,333,41,648,62
countertop-002,334,41,649,62
countertop-002,335,41,650,62
countertop-002,336,41,651,62
countertop-002,337,41,652,62
countertop-002,338,41,653,62
countertop-002,339,41,654,62
countertop-002,340,41,655,62
countertop-002,341,41,656,62
countertop-002,342,41,657,62
countertop-002,343,41,658,62
countertop-002,344,41,659,62
countertop-002,345,41,660,62
countertop-002,346,41,661,62
countertop-002,347,41,662,62
countertop-002,348,41,663,62
countertop-002,349,41,664,62
countertop-002,350,41,665,62
countertop-002,351,41,666,62
countertop-002,352,41,667,62
countertop-002,353,41,668,62
countertop-002,354,41,669,62
countertop-002,355,41,670,62
countertop-002,356,41,671,62
countertop-002,357,41,672,62
countertop-002,358,41,673,62
countertop-002,359,41,674,62
countertop-002,360,41,675,62
countertop-002,361,41,676,62
countertop-002,362,41,677,62
countertop-002,363,41,678,62
countertop-002,364,41,679,62
countertop-002,365,41,680,62
countertop-002,366,41,681,62
countertop-002,367,41,682,62
countertop-002,368,41,683,62
countertop-002,369,41,684,62
countertop-002,370,41,685,62
countertop-002,371,41,686,62
countertop-002,372,41,687,62
countertop-002,373,41,688,62
countertop-002,374,41,689,62
countertop-002,375,41,690,62
countertop-002,376,41,691,62
countertop-002,377,41,692,62
countertop-002,378,41,693,62
countertop-002,379,41,694,62
countertop-002,380,41,695,62
countertop-002,381,41,696,62
countertop-002,382,41,697,62
countertop-002,383,41,698,62
countertop-002,384,41,699,62
countertop-002,385,41,700,62
countertop-002,386,41,701,62
countertop-002,387,41,702,62
countertop-002,388,41,703,62
countertop-002,389,41,704,62
countertop-002,390,41,705,62
countertop-002,391,41,706,62
countertop-002,392,41,707,62
countertop-002,393,41,708,62
countertop-002,394,41,709,62
countertop-002,395,41,710,62
countertop-002,396,41,711,62
countertop-002,397,41,712,62
countertop-002,398,41,713,62
countertop-002,399,41,714,62
countertop-002,400,41,715,62
countertop-002,401,41,716,62
countertop-002,402,41,717,62
countertop-002,403,41,718,62
countertop-002,404,41,719,62
countertop-002,405,41,720,62
countertop-002,406,41,721,62
countertop-002,407,41,722,62
countertop-002,408,41,723,62
countertop-002,409,41,724,62
countertop-002,410,41,725,62
countertop-002,411,41,726,62
countertop-002,412,41,727,62
countertop-002,413,41,728,62
countertop-002,414,41,729,62
countertop-002,415,41,730,62
countertop-002,416,41,731,62
countertop-002,417,41,732,62
countertop-002,418,41,733,62
countertop-002,419,41,734,62
countertop-002,420,41,735,62
countertop-002,421,41,736,62
countertop-002,422,41,737,62
countertop-002,423,41,738,62
countertop-002,424,41,739,62
countertop-002,425,41,740,62
countertop-002,426,41,741,62
countertop-002,427,41,742,62
countertop-002,428,41,743,62
countertop-002,429,41,744,62
countertop-002,430,41,745,62
countertop-002,431,41,746,62
countertop-002,432,41,747,62
countertop-002,433,41,748,62
countertop-002,434,41,749,62
countertop-002,435,41,750,62
countertop-002,436,41,751,62
countertop-002,437,41,752,62
countertop-002,438,41,753,62
countertop-002,439,41,754,62
countertop-002,440,41,755,62
countertop-002,441,41,756,62
countertop-002,442,41,757,62
countertop-002,443,41,758,62
countertop-002,444,41,759,62
countertop-002,445,41,760,62
countertop-002,446,41,761,62
countertop-002,447,41,762,62
countertop-002,448,41,763,62
countertop-002,449,41,764,62
countertop-002,450,41,765,62
countertop-002,451,41,766,62
countertop-002,452,41,767,62
countertop-002,453,41,768,62
countertop-002,454,41,769,62
countertop-002,455,41,770,62
countertop-002,456,41,771,62
countertop-002,457,41,772,62
countertop-002,458,41,773,62
countertop-002,459,41,774,62
countertop-002,460,41,775,62
countertop-002,461,41,776,62
countertop-002,462,41,777,62
countertop-002,463,41,778,62
countertop-002,464,41,779,62
countertop-002,465,41,780,62
countertop-002,466,41,781,62
countertop-002,467,41,782,62
countertop-002,468,41,783,62
countertop-002,469,41,784,62
countertop-002,470,41,785,62
countertop-002,471,41,786,62
countertop-002,472,41,787,62
countertop-002,473,41,788,62
countertop-002,474,41,789,62
countertop-002,475,41,790,62
countertop-002,476,41,791,62
countertop-002,477,41,792,62
countertop-002,478,41,793,62
countertop-002,479,41,794,62
countertop-002,480,41,795,62
countertop-002,481,41,796,62
countertop-002,482,41,797,62
countertop-002,483,41,798,62
countertop-002,484,41,799,62
countertop-002,485,41,800,62
countertop-002,486,41,801,62
countertop-002,487,41,802,62
countertop-002,488,41,803,62
countertop-002,489,41,804,62
countertop-002,490,41,805,62
countertop-002,491,41,806,62
countertop-002,492,41,807,62
countertop-002,493,41,808,62
countertop-002,494,41,809,62
countertop-002,495,41,810,62
countertop-002,496,41,811,62
countertop-002,497,41,812,62
countertop-002,498,41,813,62
countertop-002,499,41,814,62
countertop-002,500,41,815,62
countertop-002,501,41,816,62
countertop-002,502,41,817,62
countertop-002,503,41,818,62
countertop-002,504,41,819,62
countertop-002,505,41,820,62
countertop-002,506,41,821,62
countertop-002,507,41,822,62
countertop-002,508,41,823,62
countertop-002,509,41,824,62
countertop-002,510,41,825,62
countertop-002,511,41,826,62
countertop-002,512,41,827,62
countertop-002,513,41,828,62
countertop-002,514,41,829,62
countertop-002,515,41,830,62
countertop-002,516,41,831,62
countertop-002,517,41,832,62
countertop-002,518,41,833,62
countertop-002,519,41,834,62
countertop-002,520,41,835,62
countertop-002,521,41,836,62
countertop-002,522,41,837,62
countertop-002,523,41,838,62
countertop-002,524,41,839,62
countertop-002,525,41,840,62
countertop-002,526,41,841,62
countertop-002,527,41,842,62
countertop-002,528,41,843,62
countertop-002,529,41,844,62
countertop-002,530,41,845,62
countertop-002,531,41,846,62
countertop-002,532,41,847,62
countertop-002,533,41,848,62
countertop-002,534,41,849,62
countertop-002,535,41,850,62
countertop-002,536,41,851,62
countertop-002,537,41,852,62
countertop-002,538,41,853,62
countertop-002,539,41,854,62
countertop-002,540,41,855,62
countertop-002,541,41,856,62
countertop-002,542,41,857,62
countertop-002,543,41,858,62
countertop-002,544,41,859,62
countertop-002,545,41,860,62
countertop-002,546,41,861,62
countertop-002,547,41,862,62
countertop-002,548,41,863,62
countertop-002,549,41,864,62
countertop-002,550,41,865,62
countertop-002,551,41,866,62
countertop-002,552,41,867,62
countertop-002,553,41,868,62
countertop-002,554,41,869,62
countertop-002,555,41,870,62
countertop-002,556,41,871,62
countertop-002,557,41,872,62
countertop-002,558,41,873,62
countertop-002,559,41,874,62
countertop-002,560,41,875,62
countertop-002,561,41,876,62
countertop-002,562,41,877,62
countertop-002,563,41,878,62
countertop-002,564,41,879,62
countertop-002,565,41,880,62
countertop-002,566,41,881,62
countertop-002,567,41,882,62
countertop-002,568,41,883,62
countertop-002,569,41,884,62
countertop-002,570,41,885,62
countertop-002,571,41,886,62
countertop-002,572,41,887,62
countertop-002,573,41,888,62
countertop-002,574,41,889,62
countertop-002,575,41,890,62
countertop-002,576,41,891,62
countertop-002,577,41,892,62
countertop-002,578,41,893,62
countertop-002,579,41,894,62
countertop-002,580,41,895,62
countertop-002,581,41,896,62
countertop-002,582,41,897,62
countertop-002,583,41,898,62
countertop-002,584,41,899,62
countertop-002,585,41,900,62
countertop-002,586,41,901,62
countertop-002,587,41,902,62
countertop-002,588,41,903,62
countertop-002,589,41,904,62
countertop-002,590,41,905,62
countertop-002,591,41,906,62
countertop-002,592,41,907,62
countertop-002,593,41,908,62
countertop-002,594,41,909,62
countertop-002,595,41,910,62
countertop-002,596,41,911,62
countertop-002,597,41,912,62
countertop-002,598,41,913,62
countertop-002,599,41,914,62
countertop-002,600,41,915,62
countertop-002,601,41,916,62
countertop-002,602,41,917,62
countertop-002,603,41,918,62
countertop-002,604,41,919,62
countertop-002,605,41,920,62
countertop-002,606,41,921,62
countertop-002,607,41,922,62
countertop-002,608,41,923,62
countertop-002,609,41,924,62
countertop-002,610,41,925,62
countertop-002,611,41,926,62
countertop-002,612,41,927,62
countertop-002,613,41,928,62
countertop-002,614,41,929,62
countertop-002,615,41,930,62
countertop-002,616,41,931,62
countertop-002,617,41,932,62
countertop-002,618,41,933,62
countertop-002,619,41,934,62
countertop-002,620,41,935,62
countertop-002,621,41,936,62
countertop-002,622,41,937,62
countertop-002,623,41,938,62
countertop-002,624,41,939,62
countertop-002,625,41,940,62
countertop-002,626,41,941,62
countertop-002,627,41,942,62
countertop-002,628,41,943,62
countertop-002,629,41,944,62
countertop-002,630,41,945,62
countertop-002,631,41,946,62
countertop-002,632,41,947,62
countertop-002,633,41,948,62
countertop-002,634,41,949,62
countertop-002,635,41,950,62
countertop-002,636,41,951,62
countertop-002,637,41,952,62
countertop-002,638,41,953,62
countertop-002,639,41,954,62
countertop-002,640,41,955,62
countertop-002,641,41,956,62
countertop-002,642,41,957,62
countertop-002,643,41,958,62
countertop-002,644,41,959,62
countertop-002,645,41,960,62
countertop-002,646,41,961,62
countertop-002,647,41,962,62
countertop-002,648,41,963,62
countertop-002,649,41,964,62
countertop-002,650,41,965,62
countertop-002,651,41,966,62
countertop-002,652,41,967,62
countertop-002,653,41,968,62
countertop-002,654,41,969,62
countertop-002,655,41,970,62
countertop-002,656,41,971,62
countertop-002,657,41,972,62
countertop-002,658,41,973,62
countertop-002,659,41,974,62
countertop-002,660,41,975,62
countertop-002,661,41,976,62
countertop-002,662,41,977,62
countertop-002,663,41,978,62
countertop-002,664,41,979,62
countertop-002,665,41,980,62
countertop-002,666,41,981,62
countertop-002,667,41,982,62
countertop-002,668,41,983,62
countertop-002,669,41,984,62
countertop-002,670,41,985,62
countertop-002,671,41,986,62
countertop-002,672,41,987,62
countertop-002,673,41,988,62
countertop-002,674,41,989,62
countertop-002,675,41,990,62
countertop-002,2712,41,3027,62
countertop-002,120,282,435,303
countertop-002,121,282,436,303
countertop-002,122,282,437,303
countertop-002,123,282,438,303
countertop-002,2029,380,2344,401
countertop-002,2046,380,2361,401
countertop-002,2554,380,2869,401
countertop-002,2571,380,2886,401
countertop-002,2571,1488,2886,1509
